probe_loc_code,target_loc_code,facing_angle,ego_direction,steps,ego_direction_opt2
loc15,loc8,0,0,3,
loc15,loc8,90,90,3,
loc15,loc8,180,180,3,
loc15,loc8,270,90,3,
loc15,loc9,0,90,3,
loc15,loc9,90,180,3,
loc15,loc9,180,90,3,
loc15,loc9,270,0,3,
loc15,loc10,0,90,4,
loc15,loc10,90,180,4,
loc15,loc10,180,90,4,
loc15,loc10,270,0,4,
loc15,loc11,0,0,1,
loc15,loc11,90,90,1,
loc15,loc11,180,180,1,
loc15,loc11,270,90,1,
loc15,loc12,0,0,2,
loc15,loc12,90,90,2,
loc15,loc12,180,180,2,
loc15,loc12,270,90,2,
loc15,loc13,0,90,2,
loc15,loc13,90,180,2,
loc15,loc13,180,90,2,
loc15,loc13,270,0,2,
loc15,loc14,0,90,1,
loc15,loc14,90,180,1,
loc15,loc14,180,90,1,
loc15,loc14,270,0,1,
loc15,loc16,0,0,3,
loc15,loc16,90,90,3,
loc15,loc16,180,180,3,
loc15,loc16,270,90,3,
loc16,loc1,0,90,6,
loc16,loc1,90,180,6,
loc16,loc1,180,90,6,
loc16,loc1,270,0,6,
loc16,loc2,0,90,7,
loc16,loc2,90,180,7,
loc16,loc2,180,90,7,
loc16,loc2,270,0,7,
loc16,loc3,0,90,4,
loc16,loc3,90,180,4,
loc16,loc3,180,90,4,
loc16,loc3,270,0,4,
loc16,loc4,0,90,5,
